ensemble,n_seeds,E_raw_mean,E_raw_sd,E_kept_t_gt_tmin_mean,E_kept_t_gt_tmin_sd,A_3p0_4p2_mean,A_3p0_4p2_sd,rho_E_atom_mean,rho_E_atom_sd,rho_E_vol_angstrom_minus3_mean,rho_E_vol_angstrom_minus3_sd,R_edge_mean,R_edge_sd,R_corner_mean,R_corner_sd,S_GC_t_gt_tmin_mean,S_GC_t_gt_tmin_sd,z_eff_mean,z_eff_sd
G_good,32,83.84375,5.984439,65.90625,5.693003,0.038861,0.00307,2.620117,0.187014,0.014377,0.001026,0.350295,0.04465,0.649705,0.04465,0.723145,0.172366,2.179481,0.260759
BD_borderline,32,66.65625,5.965543,50.625,6.272058,0.037543,0.003156,2.083008,0.186423,0.011429,0.001023,0.253197,0.03743,0.746803,0.03743,0.388672,0.150329,1.934605,0.379465
BA_bad,32,44.5625,5.028548,32.25,3.810004,0.035156,0.003406,1.392578,0.157142,0.007641,0.000862,0.162872,0.064042,0.837128,0.064042,0.151367,0.054335,1.319306,0.219744
