q,m_kg,m_over_mp,m_microgram
0.0,0.0,0.0,0.0
0.0025,5.441071870408157e-11,0.002499993574481256,0.05441071870408157
0.005,1.0882059832757147e-10,0.0049999485959689545,0.10882059832757147
0.0075,1.6322879980281766e-10,0.007499826512064072,0.16322879980281765
0.01,2.176344840880473e-10,0.009999588771556649,0.2176344840880473
0.0125,2.7203681218030564e-10,0.012499196825020287,0.2720368121803056
0.015,3.264349451283946e-10,0.014998612125406641,0.3264349451283946
0.0175,3.808280440458106e-10,0.017497796128639866,0.3808280440458106
0.02,4.3521527012368056e-10,0.019996710294210972,0.43521527012368055
0.0225,4.895957846436985e-10,0.022495316085772245,0.48959578464369846
0.025,5.439687489910583e-10,0.02499357497173144,0.5439687489910583
0.0275,5.983333246673874e-10,0.027491448425846055,0.5983333246673874
0.03,6.526886733036767e-10,0.0299888979278174,0.6526886733036766
0.0325,7.070339566732094e-10,0.03248588496388467,0.7070339566732093
0.035,7.613683367044876e-10,0.03498237102741886,0.7613683367044876
0.0375,8.156909754941564e-10,0.03747831761951654,0.8156909754941564
0.04,8.700010353199254e-10,0.03997368624959365,0.8700010353199253
0.0425,9.242976786534875e-10,0.042468438435979,0.9242976786534874
0.045,9.785800681734339e-10,0.0449625357065077,0.9785800681734339
0.0475,1.032847366778168e-09,0.047455939599114504,1.032847366778168
0.05,1.0870987375988139e-09,0.04994861166242692,1.087098737598814
0.0525,1.1413333440121207e-09,0.052440513456358126,1.1413333440121207
0.055,1.1955503496533664e-09,0.05493160655269984,1.1955503496533664
0.0575,1.2497489184292544e-09,0.05742185253571488,1.2497489184292545
0.06,1.3039282145308073e-09,0.059911213002729606,1.3039282145308073
0.0625,1.3580874024462564e-09,0.06239964956472615,1.3580874024462564
0.065,1.4122256469739258e-09,0.06488712384693436,1.4122256469739258
0.0675,1.4663421132351127e-09,0.06737359748942368,1.4663421132351127
0.07,1.5204359666869624e-09,0.06985903214769461,1.5204359666869625
0.0725,1.5745063731353364e-09,0.07234338949327007,1.5745063731353364
0.075,1.6285524987476803e-09,0.07482663121428654,1.6285524987476803
0.0775,1.6825735100658784e-09,0.07730871901608474,1.6825735100658783
0.08,1.7365685740191089e-09,0.07978961462180029,1.7365685740191088
0.0825,1.7905368579366902e-09,0.08226927977295391,1.7905368579366903
0.085,1.844477529560923e-09,0.0847476762300415,1.844477529560923
0.08750000000000001,1.8983897570599224e-09,0.08722476577312376,1.8983897570599224
0.09,1.952272709040449e-09,0.08970051020241565,1.9522727090404493
0.0925,2.006125554560726e-09,0.09217487133887542,2.0061255545607257
0.095,2.059947463143256e-09,0.0946478110247934,2.059947463143256
0.0975,2.1137376047876286e-09,0.09711929112438047,2.1137376047876284
0.1,2.1674951499833177e-09,0.09958927352435615,2.167495149983318
0.10250000000000001,2.221219269722475e-09,0.10205772013453626,2.221219269722475
0.105,2.274909135512714e-09,0.10452459288842052,2.274909135512714
0.1075,2.3285639193898875e-09,0.10698985374377937,2.3285639193898873
0.11,2.3821827939308536e-09,0.10945346468324076,2.3821827939308537
0.1125,2.4357649322662376e-09,0.11191538771487639,2.435764932266238
0.115,2.489309508093181e-09,0.1143755848727875,2.489309508093181
0.11750000000000001,2.5428156956880874e-09,0.11683401821769056,2.542815695688087
0.12,2.5962826699193538e-09,0.11929064983750216,2.5962826699193537
0.1225,2.649709606260096e-09,0.12174544184792373,2.649709606260096
0.125,2.7030956808008627e-09,0.1241983563930257,2.7030956808008626
0.1275,2.7564400702623438e-09,0.12664935564583146,2.756440070262344
0.13,2.8097419520080633e-09,0.12909840180890048,2.8097419520080633
0.1325,2.863000504057066e-09,0.13154545711491125,2.863000504057066
0.135,2.916214905096597e-09,0.13399048382724388,2.916214905096597
0.1375,2.9693843344947617e-09,0.13643344424056178,2.969384334494762
0.14,3.0225079723131853e-09,0.13887430068139328,3.022507972313185
0.14250000000000002,3.075584999319656e-09,0.1413130155087126,3.075584999319656
0.145,3.128614597000758e-09,0.14374955111452029,3.128614597000758
