TH_TC,w23_w13,gH_gC,omega12,omega23,E_analytic,E_analytic_phys,E_numeric,rel_dev
5,0.8,10,0.2,0.8,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00
7,0.8,0.1,0.2,0.8,1.43422674e-02,1.43422674e-02,1.43422674e-02,7.741e-15
7,0.8,0.3,0.2,0.8,1.43422674e-02,1.43422674e-02,1.43422674e-02,3.870e-15
7,0.8,1,0.2,0.8,1.43422674e-02,1.43422674e-02,1.43422674e-02,0.000e+00
7,0.8,3,0.2,0.8,1.43422674e-02,1.43422674e-02,1.43422674e-02,0.000e+00
7,0.8,10,0.2,0.8,1.43422674e-02,1.43422674e-02,1.43422674e-02,7.741e-15
10,0.8,0.1,0.2,0.8,2.52923105e-02,2.52923105e-02,2.52923105e-02,5.350e-15
10,0.8,0.3,0.2,0.8,2.52923105e-02,2.52923105e-02,2.52923105e-02,5.350e-15
10,0.8,1,0.2,0.8,2.52923105e-02,2.52923105e-02,2.52923105e-02,5.350e-15
10,0.8,3,0.2,0.8,2.52923105e-02,2.52923105e-02,2.52923105e-02,5.350e-15
10,0.8,10,0.2,0.8,2.52923105e-02,2.52923105e-02,2.52923105e-02,7.545e-15
15,0.8,0.1,0.2,0.8,3.39189984e-02,3.39189984e-02,3.39189984e-02,1.227e-15
15,0.8,0.3,0.2,0.8,3.39189984e-02,3.39189984e-02,3.39189984e-02,4.091e-16
15,0.8,1,0.2,0.8,3.39189984e-02,3.39189984e-02,3.39189984e-02,5.319e-15
15,0.8,3,0.2,0.8,3.39189984e-02,3.39189984e-02,3.39189984e-02,2.046e-15
15,0.8,10,0.2,0.8,3.39189984e-02,3.39189984e-02,3.39189984e-02,1.227e-15
20,0.8,0.1,0.2,0.8,3.82673145e-02,3.82673145e-02,3.82673145e-02,5.440e-16
20,0.8,0.3,0.2,0.8,3.82673145e-02,3.82673145e-02,3.82673145e-02,9.066e-16
20,0.8,1,0.2,0.8,3.82673145e-02,3.82673145e-02,3.82673145e-02,2.357e-15
20,0.8,3,0.2,0.8,3.82673145e-02,3.82673145e-02,3.82673145e-02,9.066e-16
20,0.8,10,0.2,0.8,3.82673145e-02,3.82673145e-02,3.82673145e-02,3.808e-15
1.5,0.9,0.1,0.1,0.9,-1.45674603e-01,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.9,0.3,0.1,0.9,-1.45674603e-01,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.9,1,0.1,0.9,-1.45674603e-01,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.9,3,0.1,0.9,-1.45674603e-01,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.9,10,0.1,0.9,-1.45674603e-01,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.9,0.1,0.1,0.9,-1.06904314e-01,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.9,0.3,0.1,0.9,-1.06904314e-01,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.9,1,0.1,0.9,-1.06904314e-01,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.9,3,0.1,0.9,-1.06904314e-01,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.9,10,0.1,0.9,-1.06904314e-01,0.00000000e+00,0.00000000e+00,0.000e+00
3,0.9,0.1,0.1,0.9,-6.46515291e-02,0.00000000e+00,0.00000000e+00,0.000e+00
3,0.9,0.3,0.1,0.9,-6.46515291e-02,0.00000000e+00,0.00000000e+00,0.000e+00
3,0.9,1,0.1,0.9,-6.46515291e-02,0.00000000e+00,0.00000000e+00,0.000e+00
3,0.9,3,0.1,0.9,-6.46515291e-02,0.00000000e+00,0.00000000e+00,0.000e+00
3,0.9,10,0.1,0.9,-6.46515291e-02,0.00000000e+00,0.00000000e+00,0.000e+00
4,0.9,0.1,0.1,0.9,-4.22683547e-02,0.00000000e+00,0.00000000e+00,0.000e+00
4,0.9,0.3,0.1,0.9,-4.22683547e-02,0.00000000e+00,0.00000000e+00,0.000e+00
4,0.9,1,0.1,0.9,-4.22683547e-02,0.00000000e+00,0.00000000e+00,0.000e+00
4,0.9,3,0.1,0.9,-4.22683547e-02,0.00000000e+00,0.00000000e+00,0.000e+00
4,0.9,10,0.1,0.9,-4.22683547e-02,0.00000000e+00,0.00000000e+00,0.000e+00
5,0.9,0.1,0.1,0.9,-2.84538494e-02,0.00000000e+00,0.00000000e+00,0.000e+00
5,0.9,0.3,0.1,0.9,-2.84538494e-02,0.00000000e+00,0.00000000e+00,0.000e+00
5,0.9,1,0.1,0.9,-2.84538494e-02,0.00000000e+00,0.00000000e+00,0.000e+00
5,0.9,3,0.1,0.9,-2.84538494e-02,0.00000000e+00,0.00000000e+00,0.000e+00
5,0.9,10,0.1,0.9,-2.84538494e-02,0.00000000e+00,0.00000000e+00,0.000e+00
7,0.9,0.1,0.1,0.9,-1.23257848e-02,0.00000000e+00,0.00000000e+00,0.000e+00
7,0.9,0.3,0.1,0.9,-1.23257848e-02,0.00000000e+00,0.00000000e+00,0.000e+00
7,0.9,1,0.1,0.9,-1.23257848e-02,0.00000000e+00,0.00000000e+00,0.000e+00
7,0.9,3,0.1,0.9,-1.23257848e-02,0.00000000e+00,0.00000000e+00,0.000e+00
7,0.9,10,0.1,0.9,-1.23257848e-02,0.00000000e+00,0.00000000e+00,0.000e+00
10,0.9,0.1,0.1,0.9,0.00000000e+00,0.00000000e+00,5.55111512e-17,5.551e-08
10,0.9,0.3,0.1,0.9,0.00000000e+00,0.00000000e+00,5.55111512e-17,5.551e-08
10,0.9,1,0.1,0.9,0.00000000e+00,0.00000000e+00,1.66533454e-16,1.665e-07
10,0.9,3,0.1,0.9,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00
10,0.9,10,0.1,0.9,0.00000000e+00,0.00000000e+00,5.55111512e-17,5.551e-08
15,0.9,0.1,0.1,0.9,9.71805048e-03,9.71805048e-03,9.71805048e-03,1.392e-14
15,0.9,0.3,0.1,0.9,9.71805048e-03,9.71805048e-03,9.71805048e-03,2.535e-14
15,0.9,1,0.1,0.9,9.71805048e-03,9.71805048e-03,9.71805048e-03,4.320e-14
15,0.9,3,0.1,0.9,9.71805048e-03,9.71805048e-03,9.71805048e-03,3.213e-15
15,0.9,10,0.1,0.9,9.71805048e-03,9.71805048e-03,9.71805048e-03,8.211e-15
20,0.9,0.1,0.1,0.9,1.46189876e-02,1.46189876e-02,1.46189876e-02,6.289e-15
20,0.9,0.3,0.1,0.9,1.46189876e-02,1.46189876e-02,1.46189876e-02,1.649e-14
20,0.9,1,0.1,0.9,1.46189876e-02,1.46189876e-02,1.46189876e-02,2.492e-15
20,0.9,3,0.1,0.9,1.46189876e-02,1.46189876e-02,1.46189876e-02,6.289e-15
20,0.9,10,0.1,0.9,1.46189876e-02,1.46189876e-02,1.46189876e-02,1.305e-15
