q_access,archive_fraction_A,mass_over_mp,classicality_proxy
0.0,1.0,0.6366197723675814,0.9996645373720975
0.0025,0.9975,0.6366148636353683,0.9996508643397596
0.005,0.995,0.6366001375144281,0.9996366703467027
0.0075,0.9925,0.6365755942318556,0.9996219371098026
0.01,0.99,0.6365412341661386,0.9996066457686369
0.0125,0.9875,0.6364970578471518,0.9995907768697718
0.015,0.985,0.6364430659561487,0.9995743103507142
0.0175,0.9825,0.6363792593257511,0.9995572255235273
0.02,0.98,0.6363056389399363,0.999539501058104
0.0225,0.9775,0.6362222059340213,0.9995211149650963
0.025,0.975,0.6361289615946467,0.9995020445784967
0.0275,0.9725,0.6360259073597554,0.9994822665378676
0.03,0.97,0.6359130448185711,0.9994617567702168
0.0325,0.9675,0.6357903757115739,0.9994404904715151
0.035,0.965,0.6356579019304732,0.9994184420878542
0.0375,0.9625,0.6355156255181786,0.9993955852962404
0.04,0.96,0.6353635486687682,0.9993718929850235
0.0425,0.9575,0.6352016737274553,0.9993473372339566
0.045,0.955,0.6350300031905517,0.9993218892938865
0.0475,0.9525,0.6348485397054295,0.9992955195660705
0.05,0.95,0.6346572860704801,0.9992681975811195
0.0525,0.9475,0.6344562452350712,0.9992398919775641
0.055,0.945,0.6342454202995008,0.9992105704800438
0.0575,0.9425,0.6340248145149507,0.9991801998771168
0.06,0.94,0.6337944312834349,0.9991487459986895
0.0625,0.9375,0.6335542741577477,0.9991161736930649
0.065,0.935,0.633304346841409,0.9990824468036102
0.0675,0.9325,0.6330446531886075,0.9990475281450415
0.07,0.9299999999999999,0.6327751972041402,0.9990113794793265
0.0725,0.9275,0.632495983043352,0.9989739614912058
0.075,0.925,0.6322070150120704,0.998935233763332
0.0775,0.9225,0.6319082975665402,0.9988951547510291
0.08,0.92,0.631599835313354,0.99885368175667
0.0825,0.9175,0.6312816330093809,0.9988107709036775
0.085,0.915,0.6309536955616943,0.9987663771101482
0.08750000000000001,0.9125,0.6306160280274954,0.9987204540621001
0.09,0.91,0.6302686356140351,0.9986729541863494
0.0925,0.9075,0.6299115236785344,0.9986238286230166
0.095,0.905,0.6295446977281011,0.9985730271976653
0.0975,0.9025,0.6291681634196449,0.9985204983930787
0.1,0.9,0.6287819265597908,0.9984661893206755
0.10250000000000001,0.8975,0.6283859931047889,0.998410045691571
0.105,0.895,0.6279803691604229,0.9983520117872863
0.1075,0.8925,0.6275650609819159,0.9982920304301132
0.11,0.89,0.6271400749738337,0.9982300429531372
0.1125,0.8875,0.6267054176899861,0.9981659891699268
0.115,0.885,0.6262610958333265,0.9980998073438947
0.11750000000000001,0.8825,0.6258071162558472,0.9980314341573366
0.12,0.88,0.6253434859584751,0.9979608046801577
0.1225,0.8775,0.6248702120909628,0.9978878523382906
0.125,0.875,0.624387301951779,0.9978125088818172
0.1275,0.8725,0.6238947629879953,0.9977347043527998
0.13,0.87,0.6233926027951717,0.9976543670528332
0.1325,0.8674999999999999,0.6228808291172399,0.997571423510326
0.135,0.865,0.6223594498463828,0.9974857984475224
0.1375,0.8625,0.6218284730229139,0.9973974147472746
0.14,0.86,0.6212879068351524,0.9973061934195785
0.14250000000000002,0.8574999999999999,0.620737759619298,0.9972120535678836
0.145,0.855,0.6201780398593013,0.99711491235519
0.1475,0.8525,0.6196087561867331,0.9970146849699467
0.15,0.85,0.619029917380652,0.9969112845917633
0.1525,0.8475,0.6184415323674687,0.9968046223569508
0.155,0.845,0.6178436102208077,0.996694607323907
0.1575,0.8425,0.6172361601613682,0.9965811464383608
0.16,0.84,0.6166191915567815,0.9964641444984924
0.1625,0.8375,0.6159927139214669,0.9963435041199471
0.165,0.835,0.6153567369164844,0.9962191257007592
0.1675,0.8325,0.6147112703493863,0.9960909073862052
0.17,0.83,0.6140563241740653,0.9959587450336053
0.17250000000000001,0.8275,0.6133919084906019,0.9958225321770918
0.17500000000000002,0.825,0.6127180335451077,0.9956821599923669
0.1775,0.8225,0.6120347097295679,0.9955375172614682
